id_viagem;id_usuario;genero_usuario;ano_de_nacimiento;data_viagem;inicio_viagem;fim_viagem;id_origem;id_destino
42023059;3472247;M;1991;2025-12-04;14:27:42;14:36:48;54;400
42023060;4616372;M;1999;2025-12-04;14:27:46;14:36:55;272;323
42023061;256724;M;1989;2025-12-04;14:27:50;14:28:00;76;76
42023062;2647672;F;1999;2025-12-04;14:27:49;14:30:52;110;339
42023063;4623033;M;2000;2025-12-04;14:28:00;14:54:51;303;349
42023064;144623;F;1997;2025-12-04;14:28:00;14:33:42;18;14
42023065;4036274;M;1988;2025-12-04;14:28:00;14:39:34;53;85
42023066;307372;M;1990;2025-12-04;14:28:01;14:46:03;221;194
42023067;2543541;M;1991;2025-12-04;14:28:01;14:30:24;354;333
42023068;4560323;M;1996;2025-12-04;14:28:02;14:37:53;291;288
42023069;776226;M;1971;2025-12-04;14:28:09;14:30:24;273;372
42023070;4556563;M;2005;2025-12-04;14:28:09;14:33:45;157;155
42023071;4550412;M;1999;2025-12-04;14:28:13;14:32:49;110;390
42023072;256724;M;1989;2025-12-04;14:28:18;14:31:14;76;80
42023073;1026666;M;1993;2025-12-04;14:28:24;14:56:19;386;43
42023074;4562735;M;1982;2025-12-04;14:28:25;14:43:13;379;165
42023075;1373570;M;2001;2025-12-04;14:28:29;14:35:25;242;136
42023076;542204;M;1978;2025-12-04;14:28:30;14:39:25;31;371
42023077;1721137;M;2002;2025-12-04;14:28:31;14:33:36;199;45
42023078;4563524;M;1985;2025-12-04;14:28:37;14:36:47;35;384
42023079;2626027;M;1996;2025-12-04;14:28:48;14:32:38;27;347
42023080;2270305;M;1987;2025-12-04;14:28:50;14:44:04;400;233
42023081;4617404;M;2002;2025-12-04;14:28:49;14:43:01;154;381
42023082;113170;M;1999;2025-12-04;14:28:54;14:42:14;163;349
42023083;4467251;F;2000;2025-12-04;14:29:00;14:39:57;201;255
42023084;4623765;M;1997;2025-12-04;14:29:00;14:41:06;309;321
42023085;2673201;M;2005;2025-12-04;14:29:02;14:41:43;43;384
42023086;4564134;F;2000;2025-12-04;14:29:02;14:44:43;33;254
42023087;703463;F;1990;2025-12-04;14:29:13;14:47:32;303;172
42023088;4501070;F;1996;2025-12-04;14:29:14;14:41:46;35;248
42023089;4634314;F;1994;2025-12-04;14:29:27;14:50:05;35;47
42023090;4517642;M;1993;2025-12-04;14:29:35;14:40:09;21;53
42023091;4533744;M;2003;2025-12-04;14:29:37;14:48:48;66;333
42023092;4477146;M;2002;2025-12-04;14:29:37;14:44:00;196;85
42023093;2571633;F;2001;2025-12-04;14:29:38;14:49:24;190;5
42023094;4626410;M;2002;2025-12-04;14:29:38;14:44:28;32;347
